orden_id,placa_vehiculo,origen,destino,peso_kg,fecha_entrega,estado,duracion_min,distancia_km,cliente_id
ORD-00001,XYZ-101,Lima Centro,Chiclayo,1270.81,2026-04-14 20:29:00,Completado,1578,657.98,CLI-017
ORD-00002,XYZ-101,Lima Centro,Huancayo,2572.16,2025-10-26 12:23:00,Completado,797,275.45,CLI-004
ORD-00003,QRS-200,Lima Centro,Surco,1939.02,2025-03-23 21:27:00,Completado,45,13.19,CLI-034
ORD-00004,DEF-401,San Isidro,La Molina,617.03,2026-03-17 00:43:00,Pendiente,,16.15,CLI-049
ORD-00005,QRS-201,San Isidro,La Molina,66.06,2025-06-24 03:18:00,En tránsito,49,15.67,CLI-047
ORD-00006,JKL-600,San Isidro,La Molina,576.73,2026-01-26 05:32:00,Pendiente,,15.38,CLI-041
ORD-00007,GHI-500,Lima Centro,Piura,4616.05,2025-03-20 11:48:00,En tránsito,2111,921.14,CLI-039
ORD-00008,GHI-500,Miraflores,Chorrillos,1572.19,2025-02-27 11:56:00,Completado,39,7.29,CLI-037
ORD-00009,XYZ-101,Lima Centro,San Isidro,685.54,2025-09-06 02:48:00,Completado,35,9.95,CLI-036
ORD-00010,JKL-600,Lima Centro,San Juan de Lurigancho,2719.52,2026-03-23 19:27:00,Completado,107,23.01,CLI-013
ORD-00011,TUV-300,Miraflores,Barranco,2284.86,2025-12-10 20:23:00,Completado,16,4.75,CLI-005
ORD-00012,ABC-002,Miraflores,Chorrillos,3553.81,2025-10-11 07:37:00,Completado,21,7.29,CLI-005
ORD-00013,QRS-201,Lima Centro,Miraflores,1110.47,2025-02-06 16:15:00,Fallido,22,7.41,CLI-037
ORD-00014,ABC-002,Lima Centro,Huancayo,529.81,2026-02-06 15:51:00,Completado,966,295.86,CLI-028
ORD-00015,DEF-400,Lima Centro,Arequipa,537.17,2026-01-09 01:43:00,Completado,3960,980.52,CLI-022
ORD-00016,XYZ-101,Lima Centro,Surco,1428.8,2025-04-08 17:28:00,Completado,29,11.4,CLI-005
ORD-00017,TUV-300,Lima Centro,Trujillo,4188.34,2026-03-15 17:06:00,Fallido,1183,601.59,CLI-049
ORD-00018,JKL-600,Lima Centro,Ate,340.25,2025-09-06 15:13:00,Completado,91,19.52,CLI-025
ORD-00019,QRS-200,San Isidro,La Molina,3498.13,2026-02-06 14:18:00,Pendiente,,15.69,CLI-036
ORD-00020,TUV-300,Lima Centro,Chiclayo,351.74,2025-06-01 06:03:00,Completado,2429,625.77,CLI-004
ORD-00021,TUV-300,Lima Centro,Huancayo,446.55,2026-04-16 16:10:00,Completado,651,281.15,CLI-039
ORD-00022,TUV-301,Lima Centro,San Isidro,1268.77,2025-05-01 12:07:00,En tránsito,48,10.19,CLI-040
ORD-00023,LMN-050,Lima Centro,San Isidro,1061.08,2025-10-26 18:33:00,Completado,29,10.43,CLI-016
ORD-00024,JKL-600,San Isidro,La Molina,3771.73,2025-12-10 20:19:00,Completado,50,13.72,CLI-030
ORD-00025,XYZ-102,Lima Centro,Tacna,2554.13,2025-02-21 02:34:00,Pendiente,,1204.44,CLI-023
ORD-00026,TUV-300,Lima Centro,San Isidro,3532.52,2025-07-09 09:10:00,Fallido,33,10.22,CLI-042
ORD-00027,ABC-002,Lima Centro,Piura,4697.7,2026-02-23 17:19:00,Completado,4075,787.83,CLI-008
ORD-00028,DEF-401,Lima Centro,Surco,1747.26,2025-03-21 08:18:00,En tránsito,45,12.45,CLI-017
ORD-00029,GHI-501,Lima Centro,Piura,1419.57,2026-04-09 01:05:00,Completado,3317,765.6,CLI-050
ORD-00030,DEF-401,Lima Centro,Comas,2167.05,2025-05-15 05:47:00,En tránsito,59,16.23,CLI-005
ORD-00031,QRS-200,Lima Centro,Comas,680.86,2026-03-04 11:37:00,Completado,65,17.31,CLI-003
ORD-00032,TUV-300,Callao,Bellavista,4426.47,2025-05-08 21:06:00,Completado,18,5.89,CLI-040
ORD-00033,GHI-500,Lima Centro,Comas,926.41,2025-05-02 05:51:00,Pendiente,,17.68,CLI-012
ORD-00034,XYZ-102,Miraflores,Chorrillos,1370.69,2025-07-30 21:55:00,En tránsito,33,8.46,CLI-007
ORD-00035,JKL-600,Lima Centro,Cusco,2328.5,2026-03-16 15:14:00,Fallido,3118,1153.25,CLI-015
ORD-00036,ABC-002,Lima Centro,Ate,4836.1,2025-04-09 12:21:00,Completado,56,19.12,CLI-042
ORD-00037,ABC-002,Lima Centro,Piura,4391.34,2026-03-08 17:21:00,Completado,4095,809.41,CLI-038
ORD-00038,LMN-051,San Isidro,La Molina,2210.15,2025-11-02 13:22:00,Completado,62,16.45,CLI-008
ORD-00039,ABC-001,Lima Centro,Cusco,2623.61,2025-04-08 08:02:00,Fallido,4951,1273.56,CLI-044
ORD-00040,LMN-051,Lima Centro,Villa El Salvador,3333.77,2025-02-05 21:58:00,Completado,74,23.12,CLI-020
ORD-00041,TUV-300,Lima Centro,Piura,680.07,2025-07-29 10:25:00,Completado,3477,836.48,CLI-025
ORD-00042,LMN-050,Lima Centro,San Juan de Lurigancho,1470.22,2025-06-04 12:35:00,En tránsito,99,21.69,CLI-038
ORD-00043,TUV-300,Lima Centro,Tacna,2392.27,2025-08-27 14:28:00,En tránsito,5234,1404.31,CLI-048
ORD-00044,LMN-051,Lima Centro,San Juan de Lurigancho,512.27,2025-05-26 16:42:00,En tránsito,85,23.99,CLI-016
ORD-00045,QRS-201,Miraflores,Barranco,3075.81,2025-04-12 04:01:00,Completado,10,5.27,CLI-030
ORD-00046,QRS-201,Lima Centro,Arequipa,2028.28,2025-10-22 06:45:00,Fallido,4089,929.51,CLI-045
ORD-00047,XYZ-101,Lima Centro,Callao,4030.34,2026-03-17 03:49:00,Fallido,49,15.59,CLI-030
ORD-00048,QRS-201,Lima Centro,Miraflores,3354.51,2026-04-15 03:29:00,Completado,19,8.78,CLI-039
ORD-00049,GHI-501,Miraflores,Chorrillos,3610.41,2026-04-02 14:39:00,Pendiente,,8.01,CLI-036
ORD-00050,XYZ-102,Lima Centro,Trujillo,4207.32,2026-01-16 15:28:00,Fallido,1527,525.5,CLI-050
ORD-00051,LMN-050,Lima Centro,Piura,1210.74,2025-05-03 08:28:00,Completado,1897,822.09,CLI-035
ORD-00052,XYZ-102,Lima Centro,San Isidro,367.93,2025-04-29 12:44:00,Completado,24,9.82,CLI-035
ORD-00053,TUV-301,Lima Centro,Trujillo,4733.01,2025-04-16 13:24:00,Completado,2592,497.15,CLI-049
ORD-00054,GHI-501,Lima Centro,Huancayo,4463.63,2025-01-04 11:19:00,Completado,1278,320.14,CLI-035
ORD-00055,QRS-200,Lima Centro,Iquitos,2453.93,2026-04-05 07:31:00,En tránsito,3189,1173.33,CLI-043
ORD-00056,TUV-301,Lima Centro,Cusco,2693.91,2026-03-07 14:58:00,En tránsito,2859,1297.66,CLI-038
ORD-00057,QRS-201,Lima Centro,Huancayo,949.56,2025-02-12 20:27:00,En tránsito,722,285.61,CLI-021
ORD-00058,GHI-501,Lima Centro,Villa El Salvador,2136.75,2025-06-22 12:17:00,Completado,106,26.67,CLI-031
ORD-00059,GHI-500,Lima Centro,Callao,4788.56,2025-01-27 11:14:00,En tránsito,59,13.62,CLI-002
ORD-00060,QRS-201,Lima Centro,Ate,3363.82,2025-01-11 19:09:00,Completado,54,20.26,CLI-014
ORD-00061,DEF-401,Lima Centro,Trujillo,3605.87,2026-01-28 11:10:00,En tránsito,2099,580.56,CLI-011
ORD-00062,QRS-200,Miraflores,Barranco,2013.44,2025-01-14 09:36:00,Completado,20,5.22,CLI-005
ORD-00063,LMN-050,Lima Centro,Huancayo,4258.95,2025-11-18 07:06:00,En tránsito,1227,306.02,CLI-008
ORD-00064,ABC-002,Lima Centro,Huancayo,2554.51,2025-06-27 17:27:00,En tránsito,1195,290.47,CLI-027
ORD-00065,QRS-201,Lima Centro,Chiclayo,3551.18,2026-05-07 11:40:00,Completado,3038,641.61,CLI-047
ORD-00066,JKL-600,Lima Centro,Piura,2713.96,2025-05-19 19:51:00,Pendiente,,847.19,CLI-028
ORD-00067,LMN-050,Lima Centro,Huancayo,4414.07,2026-03-13 07:53:00,Completado,1441,284.63,CLI-030
ORD-00068,LMN-051,Lima Centro,Huancayo,950.11,2025-07-14 10:01:00,En tránsito,1044,282.73,CLI-017
ORD-00069,ABC-001,Miraflores,Chorrillos,2607.3,2025-11-02 22:56:00,Completado,22,7.51,CLI-016
ORD-00070,DEF-401,Lima Centro,Arequipa,2479.57,2026-01-24 07:44:00,Completado,3428,1058.59,CLI-006
ORD-00071,LMN-051,Miraflores,Barranco,2392.64,2025-12-21 07:19:00,Completado,19,5.03,CLI-028
ORD-00072,XYZ-102,Lima Centro,Iquitos,647.25,2025-12-26 14:17:00,Completado,3503,1126.22,CLI-008
ORD-00073,XYZ-102,Lima Centro,Iquitos,3706.09,2025-12-20 05:12:00,Pendiente,,1146.36,CLI-038
ORD-00074,XYZ-101,Lima Centro,Piura,1546.22,2025-02-21 06:18:00,Completado,2280,885.36,CLI-009
ORD-00075,XYZ-101,San Isidro,La Molina,3207.45,2025-01-28 17:18:00,Completado,61,15.76,CLI-007
ORD-00076,ABC-001,Lima Centro,Callao,1299.77,2025-08-29 15:28:00,Completado,45,16.09,CLI-008
ORD-00077,XYZ-101,Lima Centro,San Isidro,788.53,2025-02-07 18:40:00,Completado,40,10.13,CLI-020
ORD-00078,QRS-200,Lima Centro,San Isidro,3051.27,2025-03-02 17:48:00,Pendiente,,10.58,CLI-015
ORD-00079,QRS-200,Lima Centro,Piura,1561.63,2026-04-11 14:19:00,Completado,3893,870.57,CLI-040
ORD-00080,LMN-050,Lima Centro,Surco,3319.12,2025-04-17 20:13:00,Pendiente,,11.18,CLI-012
ORD-00081,QRS-201,Lima Centro,Iquitos,1491.73,2025-01-02 13:28:00,Completado,4881,1135.55,CLI-046
ORD-00082,LMN-050,Miraflores,Barranco,3949.75,2025-08-21 02:43:00,En tránsito,13,5.13,CLI-043
ORD-00083,LMN-050,Lima Centro,Villa El Salvador,4141.82,2025-10-06 07:41:00,Completado,61,22.86,CLI-011
ORD-00084,ABC-002,Miraflores,Barranco,2370.05,2026-02-27 18:58:00,Completado,14,4.8,CLI-026
ORD-00085,JKL-600,San Isidro,La Molina,2188.54,2025-09-10 14:05:00,Completado,56,14.47,CLI-017
ORD-00086,TUV-301,Lima Centro,Callao,4756.39,2026-05-08 21:53:00,Completado,68,16.5,CLI-044
ORD-00087,QRS-201,San Isidro,La Molina,4584.56,2026-01-26 05:30:00,Completado,53,14.04,CLI-038
ORD-00088,LMN-051,Lima Centro,Arequipa,1639.24,2025-09-09 02:30:00,En tránsito,3043,920.92,CLI-011
ORD-00089,GHI-501,Miraflores,Chorrillos,3814.47,2025-09-11 09:42:00,Completado,38,7.26,CLI-006
ORD-00090,ABC-001,Miraflores,Chorrillos,3305.42,2025-03-01 12:55:00,Completado,28,8.07,CLI-027
ORD-00091,QRS-201,Lima Centro,Miraflores,3811.95,2025-07-05 19:48:00,Completado,27,7.53,CLI-036
ORD-00092,ABC-002,Lima Centro,Comas,192.9,2025-08-13 22:31:00,Pendiente,,18.47,CLI-016
ORD-00093,GHI-501,Lima Centro,San Juan de Lurigancho,4569.0,2025-01-08 17:26:00,Completado,50,21.83,CLI-008
ORD-00094,QRS-200,Lima Centro,Comas,4181.88,2026-01-02 09:32:00,Completado,74,19.73,CLI-016
ORD-00095,DEF-401,Lima Centro,Trujillo,4402.66,2025-07-16 06:58:00,Completado,2088,590.04,CLI-018
ORD-00096,LMN-050,Lima Centro,Arequipa,3643.95,2026-02-08 16:17:00,Completado,4461,1067.5,CLI-038
ORD-00097,TUV-300,Lima Centro,Chiclayo,3826.22,2025-08-17 17:30:00,Fallido,1972,634.04,CLI-021
ORD-00098,XYZ-102,Lima Centro,Villa El Salvador,4287.26,2025-05-03 18:24:00,Pendiente,,24.55,CLI-021
ORD-00099,GHI-500,Lima Centro,Chiclayo,4112.7,2026-02-20 12:24:00,En tránsito,3227,712.51,CLI-032
ORD-00100,GHI-501,Lima Centro,Miraflores,4232.95,2026-05-10 18:21:00,Completado,36,7.36,CLI-030
ORD-00101,GHI-500,Lima Centro,Callao,4847.56,2025-07-29 20:09:00,En tránsito,33,14.52,CLI-045
ORD-00102,TUV-300,Lima Centro,Cusco,1931.05,2026-03-13 10:54:00,En tránsito,4827,1156.0,CLI-046
ORD-00103,DEF-400,Lima Centro,Chiclayo,4608.6,2025-01-19 19:04:00,Fallido,1757,714.67,CLI-048
ORD-00104,QRS-201,Lima Centro,San Isidro,873.51,2025-02-20 20:45:00,Completado,46,9.6,CLI-002
ORD-00105,XYZ-101,Lima Centro,Miraflores,1258.78,2025-01-29 09:22:00,Completado,24,7.86,CLI-044
ORD-00106,DEF-400,Lima Centro,San Juan de Lurigancho,1242.11,2025-02-10 19:55:00,Completado,69,23.82,CLI-010
ORD-00107,JKL-600,Lima Centro,Ate,4032.93,2025-05-11 14:16:00,Completado,80,21.6,CLI-044
ORD-00108,QRS-200,Lima Centro,Iquitos,3467.05,2025-08-15 11:37:00,Completado,3476,1189.64,CLI-020
ORD-00109,XYZ-102,Lima Centro,Villa El Salvador,1937.75,2026-03-13 15:06:00,Pendiente,,24.29,CLI-019
ORD-00110,TUV-301,Miraflores,Barranco,4332.08,2026-03-01 21:25:00,Completado,14,5.28,CLI-004
ORD-00111,TUV-301,Lima Centro,Tacna,4019.56,2026-03-03 09:49:00,En tránsito,5715,1226.94,CLI-013
ORD-00112,GHI-501,Lima Centro,Tacna,727.06,2026-01-22 23:49:00,Completado,5170,1195.26,CLI-041
ORD-00113,XYZ-101,Lima Centro,Miraflores,496.16,2025-08-14 01:37:00,Completado,24,7.67,CLI-048
ORD-00114,TUV-300,Lima Centro,Arequipa,2533.88,2025-03-09 17:56:00,Completado,4914,954.51,CLI-011
ORD-00115,LMN-050,San Isidro,La Molina,3745.47,2026-04-29 15:51:00,Pendiente,,14.52,CLI-008
ORD-00116,DEF-400,Lima Centro,Trujillo,3634.87,2025-03-14 07:55:00,Pendiente,,602.79,CLI-036
ORD-00117,QRS-201,Callao,Bellavista,1874.5,2025-07-22 00:16:00,Completado,21,6.3,CLI-017
ORD-00118,QRS-201,Lima Centro,Huancayo,173.87,2025-11-23 11:06:00,Completado,1207,323.05,CLI-036
ORD-00119,DEF-400,Miraflores,Chorrillos,4128.08,2025-04-24 20:04:00,Pendiente,,8.66,CLI-020
ORD-00120,ABC-002,Lima Centro,Arequipa,531.1,2025-01-24 01:19:00,Completado,4987,1077.45,CLI-009
ORD-00121,QRS-200,Lima Centro,Cusco,2957.33,2025-12-10 23:44:00,Completado,5805,1254.38,CLI-027
ORD-00122,LMN-051,Lima Centro,Surco,1125.48,2025-11-12 13:17:00,Fallido,25,11.87,CLI-016
ORD-00123,DEF-400,Callao,Bellavista,1825.44,2025-12-18 11:34:00,Completado,28,5.88,CLI-013
ORD-00124,DEF-400,Lima Centro,Surco,1099.92,2026-02-26 14:05:00,Pendiente,,12.33,CLI-002
ORD-00125,ABC-002,Lima Centro,Miraflores,4157.6,2025-05-05 04:50:00,En tránsito,29,8.09,CLI-038
ORD-00126,JKL-600,Lima Centro,Villa El Salvador,3000.11,2025-04-30 10:49:00,Fallido,61,23.89,CLI-010
ORD-00127,ABC-001,Lima Centro,Comas,702.43,2026-02-13 05:07:00,Completado,71,17.49,CLI-016
ORD-00128,QRS-200,Lima Centro,Huancayo,2654.12,2025-03-31 08:03:00,Completado,714,314.74,CLI-031
ORD-00129,XYZ-102,Lima Centro,Trujillo,4729.81,2025-09-20 18:06:00,En tránsito,1845,499.77,CLI-043
ORD-00130,GHI-501,Lima Centro,Piura,2038.01,2025-11-26 00:03:00,Completado,4246,881.64,CLI-032
ORD-00131,XYZ-101,Lima Centro,Trujillo,1411.33,2025-02-11 10:38:00,Completado,1344,564.64,CLI-036
ORD-00132,TUV-301,Miraflores,Chorrillos,2179.49,2025-11-02 16:18:00,Completado,26,8.47,CLI-008
ORD-00133,QRS-200,Lima Centro,Iquitos,1727.71,2025-04-21 13:28:00,En tránsito,5597,1188.84,CLI-027
ORD-00134,XYZ-101,Lima Centro,Surco,3449.76,2025-06-10 21:16:00,Completado,37,11.94,CLI-006
ORD-00135,XYZ-101,Lima Centro,San Isidro,2804.04,2025-02-19 23:47:00,Completado,31,10.17,CLI-036
ORD-00136,GHI-500,Lima Centro,Iquitos,2143.54,2025-03-04 13:22:00,Completado,5544,1299.8,CLI-004
ORD-00137,XYZ-101,Miraflores,Barranco,3300.84,2025-06-30 03:36:00,En tránsito,17,4.72,CLI-007
ORD-00138,XYZ-102,Callao,Bellavista,4045.75,2025-07-08 03:48:00,Fallido,17,6.41,CLI-050
ORD-00139,DEF-400,Lima Centro,Tacna,4155.83,2025-11-26 17:01:00,En tránsito,4975,1239.54,CLI-012
ORD-00140,GHI-501,San Isidro,La Molina,759.09,2025-06-08 10:22:00,En tránsito,30,15.47,CLI-005
ORD-00141,XYZ-102,Lima Centro,Comas,1912.16,2026-05-13 00:05:00,En tránsito,76,17.83,CLI-011
ORD-00142,ABC-001,Callao,Bellavista,820.12,2025-06-16 18:38:00,Completado,13,6.31,CLI-004
ORD-00143,QRS-200,Lima Centro,San Isidro,1402.18,2025-12-05 13:31:00,Completado,38,10.51,CLI-008
ORD-00144,TUV-300,Callao,Bellavista,3352.31,2025-05-26 21:43:00,Completado,22,5.45,CLI-026
ORD-00145,GHI-500,Lima Centro,Tacna,1314.82,2025-04-15 09:13:00,Completado,5592,1255.31,CLI-001
ORD-00146,XYZ-102,Lima Centro,Chiclayo,2526.3,2025-03-31 04:24:00,En tránsito,2338,693.34,CLI-023
ORD-00147,JKL-600,Lima Centro,San Isidro,435.42,2026-01-15 01:27:00,Completado,20,9.63,CLI-028
ORD-00148,ABC-001,Lima Centro,Huancayo,4832.69,2025-11-24 13:18:00,Completado,703,280.31,CLI-040
ORD-00149,ABC-002,Lima Centro,Trujillo,1254.42,2026-04-16 11:05:00,Fallido,1820,559.78,CLI-034
ORD-00150,GHI-500,Lima Centro,San Isidro,882.26,2025-06-08 23:21:00,Completado,26,10.02,CLI-008
ORD-00151,GHI-501,Lima Centro,Piura,3244.94,2026-04-09 11:22:00,Completado,3554,790.11,CLI-007
ORD-00152,DEF-400,Lima Centro,Comas,423.0,2025-03-30 19:09:00,Completado,77,19.62,CLI-041
ORD-00153,JKL-600,Lima Centro,Chiclayo,2844.23,2025-10-16 18:28:00,Completado,2628,667.59,CLI-040
ORD-00154,QRS-201,Miraflores,Chorrillos,2238.93,2025-11-18 10:09:00,Fallido,26,7.68,CLI-018
ORD-00155,ABC-001,Lima Centro,Huancayo,331.61,2025-09-17 02:19:00,Completado,1015,319.9,CLI-005
ORD-00156,GHI-500,Lima Centro,San Isidro,3707.66,2025-09-17 12:29:00,En tránsito,37,9.08,CLI-037
ORD-00157,QRS-201,Lima Centro,Villa El Salvador,562.33,2025-09-01 16:09:00,Completado,121,27.0,CLI-022
